author,rating,title,content,date,source,app
zeke…,1,thief,"i cancled my plan months ago and i checked my bank account today and 42.61 was taken out how are yall going to charge me when i don’t even have the app, i had to recreate it just to cancel it make 0 sense",2025-09-18T21:52:05-07:00,Shopify,Shopify
Shotz4Shotz,5,OBX Performance,Love Shopify. Building my dream with them!,2025-09-18T20:36:33-07:00,Shopify,Shopify
Tsum Master,5,Sell sell sell,Actually the best app to sell online with,2025-09-18T16:11:24-07:00,Shopify,Shopify
breezyherrof,1,BEWARE,"I would give Shopify NEGATIVE STARS if I could!  I signed up with a scam online business and somehow THREE stores were opened up!  I have been trying to cancel their monthly billing for SIX MONTHS!  Beware, you DO NOT HAVE ACCESS TO A LIVE PERSON.  When trying to cancel through their chat advisor, I had to get a different chat for EACH account because they did not have access to ALL accounts.  When I was anle to finally get into my account, It shows ALL THREE are inactive!!!  I AM STILL BEING BILLED $39.00 EVERY MONTH!!!  THIS IS THEFT!  I cannot get anyone at this scam company- ie; Shopify, to STOP BILLING ME!  I am going to have to cancel my bank account!!!  DO NOT TRUST THIS COMPANY!!!",2025-09-17T09:57:30-07:00,Shopify,Shopify
PugistMobile,3,Crashes,"I know shopify was updated recently and it seemed to fix the crashes temporarily, but it has gotten back to the point where it does it every time i try to add a photo. Makes everything take triple the time to do..",2025-09-16T10:14:19-07:00,Shopify,Shopify
Paulpar88,1,Literally the Worst company!,"Company is awful. They have virtually no customer support. Got locked out of my account and there is no one you can talk to for help. The ai bot told me I need to log into my account before I can talk to someone about my log in issues. Makes a lot of sense right?! If you value any level of customer service or even being able to log in, then I recommend trying literally any other company. It could not possibly be worst than Shopify. What a joke.",2025-09-15T09:42:01-07:00,Shopify,Shopify
Juniorsvg12,1,Scammers,Do not use Shopify they will terminate your store for no reason no warning they’ll just terminate it and if you have any pending payouts or any money in your Shopify account that already processed they will keep it for over 3 months without any way of getting it sooner,2025-09-14T12:11:24-07:00,Shopify,Shopify
BABY PICASSO,5,ARTOMATIC TRILLIONAIRE,"A Seamless Platform for Luxury Art Commerce

As the CEO of ARTOMATIC TRILLIONAIRE, a global platform specializing in fine art, digital collectibles, and NFT-on-canvas masterpieces, I can confidently say that Shopify has been a key part of our growth and continued success.

We’ve closed major deals through our Shopify storefront including one-of-one, museum-grade works valued in the multi-million-dollar range. Every order is processed with precision, our collectors always receive their purchases on time, and payments are seamlessly tracked and managed. The platform gives us the security, flexibility, and global infrastructure to scale with confidence.

We’re proud to be collaborating with Shopify as we continue expanding our vision for a new era of luxury art commerce. From NFTs to physical installations, Shopify empowers us to deliver an exceptional client experience with every transaction.

Looking forward to what we build next together.

Fredrick Fields Jr.
CEO, ARTOMATIC TRILLIONAIRE",2025-09-11T12:59:46-07:00,Shopify,Shopify
aimekakpo,5,Best ever,Make my business easier to manage,2025-09-09T19:49:49-07:00,Shopify,Shopify
Blueberrymuffins9475,1,It doesn’t work,I tried to log in to it and it just says captcha couldn’t load,2025-09-07T14:20:03-07:00,Shopify,Shopify
mitoaglass,1,Horrible support,After more than a year im locked out of my account and need to cancel because there’s nobody at the company to talk to. Tons of people on their twitter page are saying the exact same thing. Some people waiting 3 weeks and still no help,2025-09-06T11:41:35-07:00,Shopify,Shopify
Chrissy0204,3,My Experience/W Shopify,"I only put 3 stars because the app only let yu post good stars so the rating will go up to make ppl believe this app is great but is a horrible app…This experience been horrible Listen I can say a lot but I’m going to state the obvious…this whole platform is a scam never have I ever felt played with in my life. Real stores done even deal with Shopify. This platform was bait us into the billing/subscription’s. Why do I need 30 different subscriptions for one store? That’s not making since, and then why is the billing so difficult to navigate? Everything supposed to be one, two steps right? Not with billing they keep telling to me to uninstall the app you won’t be charged…SCAM yes yu will still be charged because it’s an extra step they don’t tell yu, yu have to reach out to the third party app lol. Then the third party app tell you to reach out to Shopify billing…Trash app! Boooooooooo tomatoes",2025-09-02T12:32:45-07:00,Shopify,Shopify
Umer Rehman97,1,Very slow after last few updates,It takes a lot of time to load the home page stats and analytics is slow as well. I have to wait at least 30 seconds so the home page stats can load. It was very good before the last few updates.,2025-08-28T04:43:21-07:00,Shopify,Shopify
Kingpinman77,5,I love shopify,Great app,2025-08-27T07:50:56-07:00,Shopify,Shopify
jhga123,3,No longer access to my account,"I’ve been locked out of my Shopify account for over two months because I no longer have access to the phone number used for verification. I still have access to my email and another phone number on the account, but Shopify doesn’t offer the option to send the verification code to my email. I’ve contacted support multiple times, offered to verify my identity with documents or any info they need, but I was told the only solution is to create a new account with a new number and email which makes no sense. Meanwhile, they continue charging me $39/month without giving me any access or real help. It’s frustrating that Shopify seems to care more about billing than actually supporting their customers when problems arise.",2025-08-25T14:16:08-07:00,Shopify,Shopify
FGYBKQQ,1,New Update isn’t Working!,My financial page isn’t loading. To see who’s on my website isn’t loading…. It’s super slow & almost unusable.,2025-08-24T20:26:03-07:00,Shopify,Shopify
E. Alexsandra,1,Updates,"It’s so annoying the amount of updates , we have to do for this app. If it wasn’t such a necessity I would’ve deleted it a long time ago.",2025-08-23T22:22:22-07:00,Shopify,Shopify
rumvs2,1,"🚨 Shopify — “so easy to use,” they say. What a joke","I’ve dumped money into this platform, even had to hire someone overseas just to get my store running because Shopify couldn’t deliver. After all that, I still haven’t made a single sale… and now they want more money?

Feels less like a business tool and more like a scam. Small businesses deserve better than being bled dry by a company that hides behind big promises and zero results.

#ShopifyFail #SmallBusinessStruggle #Disappointed #ScamAlert",2025-08-22T06:55:33-07:00,Shopify,Shopify
